client_id,cluster,client_type,gender,country,region,acquisition_purpose,loan_applied,referral_channel,age,satisfaction_score,property_count,total_property_value,average_property_value,average_floor_area
C0001,1,Individual,F,USA,California,Home,Yes,Website,57,4,4,1246764.72,311691.18,983.885
C0002,7,Individual,M,USA,California,Home,No,Website,63,1,5,1841095.9300000002,368219.18600000005,1187.942
C0003,8,Individual,M,USA,California,Home,Yes,Agency,66,4,5,1661457.5899999999,332291.518,1058.1100000000001
C0004,7,Individual,M,USA,California,Home,No,Website,66,5,6,1608263.51,268043.91833333333,937.1033333333334
C0005,9,Company,M,USA,California,Investment,No,Website,49,5,13,3653385.38,281029.64461538463,927.2961538461539
C0006,1,Individual,M,USA,California,Home,Yes,Website,68,3,5,1514131.06,302826.212,989.5899999999999
C0007,9,Individual,M,Canada,Quebec,Investment,No,Website,78,5,11,3251147.83,295558.8936363636,995.6936363636363
C0008,2,Individual,F,USA,California,Home,No,Website,56,5,5,1476730.4100000001,295346.08200000005,1031.106
C0009,4,Individual,M,USA,California,Investment,No,Agency,50,5,5,1820832.35,364166.47000000003,1305.644
C0010,4,Individual,M,USA,Oregon,Investment,No,Agency,59,3,5,1732434.0,346486.8,1140.206
C0011,1,Individual,F,USA,California,Home,Yes,Website,69,2,5,1325211.52,265042.304,935.914
C0012,5,Company,M,USA,California,Investment,No,Website,50,5,4,1599526.4,399881.6,1317.445
C0013,1,Individual,M,USA,California,Home,Yes,Website,63,1,5,2142750.89,428550.178,1407.376
C0014,1,Company,M,USA,California,Home,Yes,Website,45,3,4,1548140.0699999998,387035.01749999996,1280.5425
C0015,3,Individual,F,USA,California,Home,No,Client,84,5,5,1585907.37,317181.47400000005,1030.764
C0016,5,Individual,F,USA,California,Investment,No,Website,86,5,4,1010217.73,252554.4325,842.145
C0017,3,Individual,M,USA,Arizona,Home,No,Client,49,3,5,1778693.75,355738.75,1195.8139999999999
C0018,8,Individual,M,USA,California,Home,Yes,Agency,58,2,4,1061478.67,265369.6675,913.8325
C0019,3,Individual,M,USA,California,Home,Yes,Client,68,5,4,1773474.26,443368.565,1402.0425
C0020,2,Individual,F,USA,California,Home,No,Website,58,5,4,1508032.25,377008.0625,1307.08
C0021,9,Individual,M,USA,Oregon,Investment,No,Website,87,3,6,1928172.72,321362.12,1028.86
C0022,4,Individual,M,Germany,Berlin,Investment,No,Agency,59,5,4,1372403.2,343100.8,1247.4850000000001
C0023,1,Individual,M,USA,California,Home,Yes,Website,67,3,5,1457871.69,291574.338,948.3880000000001
C0024,9,Individual,M,USA,California,Investment,No,Website,62,4,6,1884156.9000000001,314026.15,1053.735
C0025,1,Individual,M,USA,Nevada,Home,Yes,Website,89,2,5,1694448.83,338889.766,1120.576
C0026,9,Individual,M,USA,California,Investment,No,Website,63,5,10,2932241.75,293224.175,1002.383
C0027,1,Individual,M,USA,California,Home,Yes,Website,57,5,5,1517969.44,303593.888,1070.234
C0028,3,Individual,F,USA,California,Home,No,Client,67,3,5,1791082.79,358216.558,1266.366
C0029,8,Individual,F,USA,Colorado,Home,Yes,Agency,49,4,4,1247795.31,311948.8275,993.05
C0030,2,Individual,F,USA,Nevada,Home,No,Website,73,3,4,1547311.29,386827.8225,1279.3725
C0031,1,Individual,M,USA,Nevada,Home,Yes,Website,48,4,5,1077148.21,215429.642,677.3399999999999
C0032,7,Individual,M,USA,California,Home,No,Website,59,4,5,1888995.1600000001,377799.032,1282.528
C0033,1,Individual,F,USA,California,Home,Yes,Website,57,3,4,1404998.67,351249.6675,1250.4325
C0034,0,Individual,F,Belgium,Brussels,Home,No,Agency,56,2,5,1632608.66,326521.73199999996,1160.556
C0035,9,Individual,M,Mexico,Mexico City,Home,No,Agency,60,3,5,1987876.4,397575.27999999997,1445.752
C0036,7,Individual,M,USA,California,Home,No,Website,52,4,4,1173683.53,293420.8825,963.325
C0037,1,Individual,F,USA,California,Home,Yes,Website,63,5,5,1607228.75,321445.75,1018.368
C0038,3,Individual,F,USA,California,Investment,No,Client,51,4,4,1175129.27,293782.3175,1105.1225
C0039,2,Individual,F,Russia,Krasnodar Krai,Home,No,Agency,58,1,4,1858527.54,464631.885,1365.68
C0040,7,Individual,M,USA,Nevada,Home,No,Website,50,5,6,1854608.29,309101.38166666665,1047.8
C0041,1,Individual,M,USA,Arizona,Home,Yes,Website,58,1,5,1374460.79,274892.158,872.838
C0042,1,Individual,F,USA,Utah,Home,Yes,Website,50,1,4,1101390.25,275347.5625,913.8425
C0043,6,Individual,M,USA,Nevada,Investment,Yes,Website,60,3,4,1126492.46,281623.115,983.505
C0044,2,Individual,F,USA,Arizona,Home,No,Website,94,3,4,1330493.26,332623.315,1106.8675
C0045,4,Individual,M,USA,Colorado,Investment,No,Agency,57,2,5,1463432.3599999999,292686.47199999995,913.774
C0046,9,Individual,F,USA,California,Home,No,Client,61,5,8,2026517.4,253314.675,857.8050000000001
C0047,0,Individual,M,USA,Colorado,Home,No,Agency,55,2,5,1438239.28,287647.856,953.568
C0048,8,Individual,M,USA,California,Home,Yes,Agency,68,3,4,1338718.0,334679.5,1026.3200000000002
C0049,2,Individual,F,USA,California,Home,No,Website,54,1,4,1390091.2,347522.8,1204.3675
C0050,9,Individual,M,USA,California,Home,No,Website,85,5,9,2744452.35,304939.15,993.5088888888889
C0051,0,Individual,F,USA,Colorado,Home,No,Agency,84,3,4,1270440.42,317610.105,1039.56
C0052,3,Individual,F,USA,Oregon,Investment,No,Client,58,2,4,1474211.53,368552.8825,1187.925
C0053,0,Individual,M,USA,Arizona,Home,No,Agency,72,4,4,1120539.44,280134.86,929.245
C0054,9,Company,M,USA,Nevada,Investment,No,Website,58,5,6,2109277.6,351546.26666666666,1115.6333333333334
C0055,8,Individual,F,USA,California,Home,Yes,Agency,52,5,4,1178979.21,294744.8025,989.8299999999999
C0056,4,Individual,M,USA,Oregon,Investment,No,Agency,61,5,4,1579301.3599999999,394825.33999999997,1355.5975
C0057,8,Individual,M,USA,California,Home,Yes,Agency,92,4,5,2020519.52,404103.904,1344.1439999999998
C0058,6,Company,F,USA,California,Investment,Yes,Website,56,1,5,1441406.17,288281.234,919.8399999999999
C0059,7,Individual,M,USA,California,Home,No,Website,65,2,4,1278854.25,319713.5625,1102.44
C0060,2,Individual,F,USA,California,Home,No,Website,53,5,4,1355662.25,338915.5625,1119.4675
C0061,0,Individual,M,USA,Utah,Home,No,Agency,58,5,4,1306907.58,326726.895,1101.62
C0062,3,Individual,M,USA,California,Home,Yes,Client,51,5,5,1489333.49,297866.698,1059.8319999999999
C0063,2,Individual,F,USA,Arizona,Home,No,Website,83,4,5,1625480.88,325096.176,1112.538
C0064,4,Individual,M,UK,Northern Ireland,Investment,No,Agency,51,4,4,1448881.28,362220.32,1095.85
C0065,0,Individual,M,USA,California,Home,No,Agency,53,1,4,1557125.73,389281.4325,1261.5275
C0066,3,Individual,F,USA,California,Investment,No,Client,51,3,4,1107164.17,276791.0425,932.7550000000001
C0067,7,Individual,M,USA,California,Home,No,Website,48,2,5,1431941.84,286388.368,851.818
C0068,8,Individual,F,USA,Colorado,Home,Yes,Agency,59,5,4,1572779.33,393194.8325,1450.2925
C0069,5,Individual,M,USA,California,Investment,No,Website,55,4,5,1439142.47,287828.494,957.588
C0070,1,Individual,F,USA,Arizona,Home,Yes,Website,78,4,5,1521570.62,304314.124,1039.274
C0071,3,Individual,M,USA,California,Home,Yes,Client,40,1,5,1150384.09,230076.81800000003,833.3799999999999
C0072,9,Individual,M,USA,Nevada,Investment,No,Website,72,2,6,2246488.58,374414.76333333337,1129.4916666666666
C0073,4,Individual,F,Denmark,Capital Region,Investment,No,Agency,61,1,4,1413902.33,353475.5825,1194.0325
C0074,3,Individual,F,USA,Oregon,Investment,No,Client,67,5,5,1709458.65,341891.73,1138.044
C0075,2,Individual,F,USA,California,Home,No,Website,55,3,4,1269395.74,317348.935,1048.3425
C0076,9,Individual,M,USA,California,Home,No,Agency,69,5,6,1905852.0899999999,317642.01499999996,1067.28
C0077,7,Individual,M,USA,California,Home,No,Website,45,5,5,1880012.18,376002.436,1191.826
C0078,2,Individual,F,USA,California,Home,No,Website,77,5,4,1685882.3900000001,421470.59750000003,1415.63
C0079,5,Individual,M,Belgium,Brussels,Investment,No,Website,71,4,4,1456436.3,364109.075,1219.0675
C0080,5,Individual,F,USA,California,Investment,No,Website,77,3,5,1427531.56,285506.31200000003,965.024
C0081,1,Individual,F,USA,California,Home,Yes,Website,82,4,4,1522144.26,380536.065,1252.745
C0082,3,Individual,F,USA,Virginia,Investment,No,Client,44,5,5,1282267.95,256453.59,884.2239999999999
C0083,7,Individual,M,USA,California,Home,No,Website,87,5,6,1513641.46,252273.57666666666,851.395
C0084,9,Individual,M,USA,Wyoming,Home,No,Agency,77,3,5,1762231.92,352446.38399999996,1083.6119999999999
C0085,8,Individual,M,USA,California,Home,Yes,Agency,59,4,4,1185505.46,296376.365,986.395
C0086,1,Individual,F,USA,California,Home,Yes,Website,57,3,5,1928188.6099999999,385637.72199999995,1354.634
C0087,0,Individual,F,USA,California,Home,No,Agency,46,4,4,1681153.28,420288.32,1287.6625
C0088,9,Individual,M,USA,Oregon,Investment,No,Website,89,2,6,1450519.57,241753.2616666667,786.9733333333334
C0089,0,Individual,M,USA,California,Home,No,Agency,76,3,4,1041853.81,260463.4525,854.79
